Year,Month,taMax,taMin,prcp
1987,12,-3.562903225806452,-10.430645161290325,318.9
1987,2,0.8607142857142855,-6.414285714285714,94.6
1987,3,4.198387096774193,-4.424193548387098,189.7
1987,4,9.579999999999997,-2.1133333333333333,78.29999999999998
1987,5,13.495161290322581,1.3435483870967746,84.0
1987,6,19.32333333333333,5.676666666666666,21.3
1987,7,18.424193548387095,6.3112903225806445,28.099999999999994
1987,8,21.4758064516129,7.740322580645162,2.6999999999999997
1987,9,19.260000000000005,6.776666666666667,10.6
1988,1,-3.4500000000000006,-9.543548387096774,190.49999999999994
1988,10,12.817741935483868,3.601612903225806,177.8
1988,11,0.7833333333333332,-3.8666666666666667,388.49999999999994
1988,12,0.008064516129031958,-6.253225806451612,185.8
1988,2,2.9603448275862068,-5.41551724137931,152.4
