Year,Month,taMax,taMin,prcp
2014,11,3.672333333333334,-2.3350000000000004,439.2978499999999
2014,12,-0.23354838709677422,-5.228709677419355,191.45021
2014,2,6.0175,-2.16,266.60656
2014,3,3.5412903225806462,-5.055483870967743,152.96305
2014,4,5.076333333333334,-5.057,107.10966
2014,5,14.722580645161294,1.7180645161290322,19.619
2014,6,15.913333333333332,2.9116666666666675,39.35644
2014,7,21.427096774193547,5.2848387096774205,13.624739999999997
2014,8,22.247096774193547,7.966451612903226,13.76789
2014,9,15.292666666666667,5.709000000000001,186.93023999999997
2015,1,0.5474193548387096,-4.39741935483871,338.9586100000001
2015,10,6.9970967741935475,-0.9603225806451613,156.24488
2015,11,6.519000000000001,-0.7570000000000002,413.37487
2015,12,-0.8216129032258064,-5.731935483870967,433.88809999999995
